"Id","Company Name","Email","Phone","Street","City","State","Zip Code","DEA #","Account Classification", "Classification Type", "Active/Suspended", "Suspended Date", "Suspension Reason", "Account Status", "Approved","Registered On", "How did you hear about us?", "What do you hope to achieve by joining?", "Last Login"
"100093","Test Seller Pharm","gnr.mca@gmail.com","555-111-2222","1025 West Stassney Lane","Austin","TX","78745","VS2222222","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Apr. 27, 2012 15:09:06","N/A","N/A","N/A"
"100107","My Test Pharmacy","gnr.mca@gmail.com","555-222-3333","123 Any St","Tampa","FL","33545","ZZ9988775","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","May. 02, 2012 13:44:05","N/A","N/A","N/A"
"100113","DC1","nagarjuna.golamaru@amzur.com","555-555-5555","123 Any St","Lexington","KY","63254","RK0236403","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","May. 31, 2012 14:36:40","N/A","N/A","N/A"
"100114","Test - Attain - Test","nagarjuna.golamaru@amzur.com","555-888-5888","1234 Any St","Houston","TX","60441","HH1234567","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","May. 31, 2012 14:42:04","N/A","N/A","N/A"
"100115","Test - National Apothecary - Test","nagarjuna.golamaru@amzur.com","555-555-1212","123 Any St","Tampa","FL","33626","NP1234567","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","Jun. 01, 2012 16:44:38","N/A","N/A","N/A"
"100116","Test store IPC","nagarjuna.reddy@dev2.trxadedev.com","800-274-5532","1550 Columbus St","New york","NY","","ZZ0001112","Wholesaler","","active","2018-12-05","; User suspended on 12/05/2018 - Reason: Need documents","final","1","Sep. 13, 2017 20:00:00","N/A","N/A","Nov. 27, 2025 08:16:27"
"100119","Legal New Pharmacy","gnr.mca@gmail.com","789-789-9877","123 somewhere","City","AL","33333","AA1234567","Pharmacy","Hospital","active","0000-00-00","","new","1","Jan. 29, 2013 13:16:08","N/A","N/A","N/A"
"100120","Distro and other things","test@emial.com","941-925-2424","122 somewhere lane","City","AL","39252","AB1357247","Wholesaler","Distributor","active","0000-00-00","","final","1","Feb. 05, 2013 14:22:02","N/A","N/A","N/A"
"100121","Trxade's Test","ccc@trxade.com","555-555-5555","123 Any St","Austin","TX","55555","ZQ1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Mar. 14, 2013 23:07:21","N/A","N/A","N/A"
"100122","Jane's Pharmacy","pp@trxade.com","555-555-5555","123 Any St","Austin","TX","30322","PP1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Mar. 15, 2013 14:12:03","N/A","N/A","N/A"
"100123","Joe's Pharmacy","gnr.mca@gmail.com","555-555-5555","123 Any St","Austn","TX","44332","RR1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Mar. 15, 2013 22:05:57","N/A","N/A","N/A"
"100124","Trxade's Pharmacy","gnr.mca@gmail.com","555-555-5555","123 Any St","Austin","TX","55445","UH1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Mar. 16, 2013 01:25:26","N/A","N/A","N/A"
"100125","busted r us","webinfo@flyingdiamond.com","941-925-2424","1717 Redwood st","Sarasota","AL","34231","JF1234578","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Mar. 19, 2013 15:14:57","N/A","N/A","N/A"
"100126","Test short login dba Very Long Corporate Name Here","jeff@flyingdiamond.com","932-345-2383","16 bad highway street unknown","Dekalb","CO","60115","LK12345678","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Mar. 29, 2013 14:43:23","N/A","N/A","N/A"
"100127","Ty","ty@flyingdiamond.com","932-345-2383","2341 Redline Blvd","asdifoj","IA","85932","TY1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","valid","1","Apr. 04, 2013 11:34:01","N/A","N/A","N/A"
"100128","Demo for Test","jjksldf@fjdks.com","894-893-3849","alksjdfkjdslkjafsldkjf","djklsjflksjdlkfj","AL","12345","AA27982734","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","May. 03, 2013 13:44:28","N/A","N/A","N/A"
"100129","Kevin Test Pharmacy11","tiger.itman@gmail.com","123-123-1234","1234 main st.","orlando","KS","32828","KN12345679","Pharmacy","Long Term Care","active","0000-00-00","","ready","1","May. 05, 2013 14:42:56","N/A","N/A","N/A"
"100130","Shepard's Discount Drugs ","nagarjuna.golamaru@amzur.com","123-123-1234","1234&#039; main st.","orlando","AR","22222","KK12121212","Wholesaler","Distributor","active","0000-00-00","","final","1","May. 05, 2013 23:04:55","N/A","N/A","N/A"
"100131","Test - Dynasty - Test","nagarjuna.golamaru@amzur.com","7275157297","12320 Lake Blvd","Trinity","FL","34655","RR9999999","Wholesaler","Full Line Wholesaler,Distributor,Broker","suspended","2023-10-12","; User suspended on 10/12/2023 - Reason: Test TRX-9200","final","1","May. 16, 2013 23:50:49","N/A","N/A","N/A"
"100132","Carole's Pharmacy","carolelucas@trxade.com","555-555-5555","123 Any St","Austin","TX","55555","YY5555555","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","May. 20, 2013 23:30:56","N/A","N/A","N/A"
"100133","Test-RiverCity-Test","sravya.jetti@trxadedev.com","555-555-5555","123 Any St","Austin","TX","55555","EE1111111","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","May. 20, 2013 23:58:59","N/A","N/A","N/A"
"100134","Test-Bellco-Test","nagarjuna.golamaru@amzur.com","555-555-5555","123 Any St","Austin","TX","33564","NN1111111","Wholesaler","Full Line Wholesaler","active","2015-07-24","; User suspended on 07/24/2015 - Reason: For Demo","final","1","May. 28, 2013 21:04:04","N/A","N/A","N/A"
"100135","Carole's New Test Pharmacy","troycarole25@gmail.com","555-555-5555","123 Any St","Austin","TX","30322","CC1111111","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","May. 28, 2013 21:17:44","N/A","N/A","N/A"
"100136","RutherfordL","laurierutherford@yahoo.com","888-222-4444","9922 Warren St","Rochester","UT","55443","LL1234567","Pharmacy","Long Term Care","active","0000-00-00","","final","1","May. 31, 2013 16:10:46","N/A","N/A","N/A"
"100137","Shepard's Discount Drugs ","tt@trxade.com","555-555-5555","p. o. box 148","Austin","TX","55555","OP1111111","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Jun. 05, 2013 23:39:40","N/A","N/A","N/A"
"100138","Carole's Test Pharm","xx@trxade.com","555-555-5555","123 Any St","Austin","TX","58549","QQ0000000","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Jun. 08, 2013 18:49:39","N/A","N/A","N/A"
"100139","Carole New Test Pharm","io@trxade.com","555-555-5555","123 Any St","Austin","TX","45554","WW0000000","Pharmacy","Retail Pharmacy","active","0000-00-00","","valid","1","Jun. 08, 2013 19:51:36","N/A","N/A","N/A"
"100140","fasdfasfdsadf","jeff@flyingdiamond.com","893-732-7838","asdffasdfasd","fasdfasdfasd","CA","24342","GD2938742","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Jun. 08, 2013 20:53:30","N/A","N/A","N/A"
"100141","Carole's Testing Pharm","iu@trxade.com","555-555-5555","123 Any St.","Austin","TX","44444","CC0000000","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Jun. 09, 2013 17:28:05","N/A","N/A","N/A"
"100142","Carole Testing Pharm","dd@trxade.com","555-555-5555","123 Any St","Austin","TX","77777","LL0000000","Pharmacy","Retail Pharmacy","active","0000-00-00","","valid","1","Jun. 09, 2013 21:08:30","N/A","N/A","N/A"
"100143","Carole Test","kk@trxade.com","555-555-5555","123 Any St","Austin","TX","75241","XX0000000","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Jun. 11, 2013 10:54:28","N/A","N/A","N/A"
"100144","fasdfasdfasdf","jksjfdksldj@fljdsfasdf.com","956-593-9323","asdfasdfsadfsa","dfasdfasdfasdfasd","KS","45678","KK1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","valid","1","Jun. 11, 2013 11:17:15","N/A","N/A","N/A"
"100145","Carole Test 14","gnr.mca@gmail.com","555-555-1212","123 Any St","Austin","NY","55555","SS1111111","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Jun. 11, 2013 17:10:07","N/A","N/A","N/A"
"100146","Carole Test","no@trxade.com","555-555-5555","123 Any St","Tampa","FL","55555","ZZ7777777","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Jun. 26, 2013 20:01:23","N/A","N/A","N/A"
"100147","Carole Test","rr@trxade.com","555-555-5555","123 Any St","Tampa","FL","33564","PP5555555","Pharmacy","Retail Pharmacy","active","0000-00-00","","valid","1","Jun. 28, 2013 12:10:43","N/A","N/A","N/A"
"100149","Trade Name","1234@12341234.com","","","","","","FT4556789","Pharmacy","Retail Pharmacy","suspended","0000-00-00","","new","0","Jul. 03, 2013 11:34:21","N/A","N/A","N/A"
"100150","stroud","mstroud@mypharmacy.com","813-626-8711","4576 hollydale pl","brandon","FL","33511","AD1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Jul. 10, 2013 16:21:59","N/A","N/A","N/A"
"100151","same","nancy21@mypharmacy.com","813-989-2601","4521 river lake dr","ruskin","FL","33570","DC4665666","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Jul. 10, 2013 17:29:40","N/A","N/A","N/A"
"100152","ToGo Pharmacy","gnr.mca@gmail.com","334-874-4556","1320 East Highland Avenue","Selma","AL","36703","NC8765432","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Jul. 19, 2013 12:34:59","N/A","N/A","N/A"
"100153","Chek Right Pharmacy","akbarrebate@yahoo.com","334-874-4651","217 Broad Street","Selma","AL","36701","NR6543210","Pharmacy","Retail Pharmacy","active","2013-09-11","; User suspended on 09/11/2013 - Reason: test in test","final","1","Jul. 19, 2013 16:34:35","N/A","N/A","N/A"
"100154","Sam Lots","nagarjuna.golamaru@amzur.com","803-777-7000","1600 Hampton Street","Columbia","SC","29208","DP76854321","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","Jul. 19, 2013 17:29:43","N/A","N/A","N/A"
"100155","Big Lots","nagarjuna.golamaru@amzur.com","803-777-7000","1600 Hampton Street","Columbia","SC","29208","DP76854322","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","Jul. 19, 2013 17:43:16","N/A","N/A","Oct. 24, 2025 10:17:35"
"100158","My Pharmacy","test123@gmail.com","407-776-0987","3456 tweed run","sanford","FL","32771","AR1234532","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Jul. 30, 2013 16:13:49","N/A","N/A","N/A"
"100159","Budget Pharmacy","invrxtest@gmail.com","407-897-0987","3456 international pkwy","sanford ","FL","32771","TR6758909","Pharmacy","","active","0000-00-00","","final","1","Jul. 31, 2013 09:45:17","N/A","N/A","N/A"
"100160","Cheap Pharma","jamesarthortest@gmaill.com","897-996-7845","234 spring creek way","plano","TX","75093","TS8957633","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Aug. 05, 2013 17:44:04","N/A","N/A","N/A"
"100161","AppleOne Pharmaacy","appleone@gmail.com","513-258-7456","987 spring crek pkwy","plano","TX","75010","TE7974037","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Aug. 07, 2013 15:01:46","N/A","N/A","N/A"
"100162","Plano Pharmacy","testpl@gmail.com","512-856-8932","3456 spring creek pkwy","Planao","TX","75010","PL6578764","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Aug. 12, 2013 15:36:33","N/A","N/A","N/A"
"100163","Kevin Test ","kevin.najafi@trxadedev.com","123-123-1234","1234 main st.","orlando","FL","32828","TE0000001","Medical Facility","Primary Care","active","0000-00-00","","new","1","Aug. 14, 2013 09:52:19","N/A","N/A","N/A"
"100164","Hendricks Pharmacy","invrxtest@gmail.com","512-897-9632","2367 spring creek dr","irving","TX","75038","VT3648388","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Aug. 18, 2013 13:05:28","N/A","N/A","N/A"
"100165","independent pharma","nagarjuna.golamaru@amzur.com","512-874-9635","5679 spring creek pkway","Irving","TX","75039","NF3457525","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","Aug. 18, 2013 14:01:59","N/A","N/A","N/A"
"100166","Test Dobule Sumbit.","jklkj@fjkldsfld.com","232-232-2323","123423441","safdasdf","AL","23423","DB33948934","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 10, 2013 16:07:38","N/A","N/A","N/A"
"100167","regit pharmacy","testregt@gmail.com","512-652-4785","8976 spring creek pkway","plano","TN","75052","RT9908976","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 11, 2013 17:52:41","N/A","N/A","N/A"
"100168","qwerqwerwqer","qwer@1234.com","234-234-2345","wqeqwreqwe","rwqeqwerweqr","CO","12345","NR7998646","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 16, 2013 18:17:17","N/A","N/A","N/A"
"100169","Maybe this is it!!!!","jklasjdflsadlkf@ajskldfsda.com","941-925-2424","210984","asdjflaskjfd","AL","23423","T123456784","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 17, 2013 22:14:56","N/A","N/A","N/A"
"100170","longfarm pharmacy","longfarm@gmail.com","512-653-6547","52486 spring creek pkwy","plano","TX","75020","LF6606004","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 24, 2013 17:41:29","N/A","N/A","N/A"
"100171","RegistrVF Pharmacy","regverif@gmail.com","512-845-6321","58741 spring creek pkway","plano","TX","75020","RV7979799","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 24, 2013 18:00:26","N/A","N/A","N/A"
"100172","IncompReg Pharmacy","inccompreg@gmail.com","512-528-7451","29087 spring creek pkway","plano","TX","75020","IN2389634","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 25, 2013 08:47:31","N/A","N/A","N/A"
"100173","Regfax Pharmacy","regfax@gmail.com","512-214-5236","28965 spring creek pkwy","plano","TX","75020","RF6842602","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Sep. 25, 2013 14:51:15","N/A","N/A","N/A"
"100174","Regtest pharmacy","trxade123@gmail.com","512-568-9874","495 spring creek pkway","plano","PR","75023","RD5658589","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Oct. 08, 2013 17:18:14","N/A","N/A","N/A"
"100175","Tombstone Pharmacy","tombraider_wslr@gmail.com","713-860-1400","5847 San Felipe, Suite 2400","Houston","TX","77057","BB987654321","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Oct. 24, 2013 00:15:59","N/A","N/A","N/A"
"100176","fasdfasd","rt@flyingdiamond.com","243-234-2344","fasdfasdfasd","asdfasdf","MS","24323","RT123456789","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Oct. 25, 2013 14:18:44","N/A","N/A","N/A"
"100177","REGAPP Pharmacy","regaap@gmail.com","512-857-9632","417412 spring creek pkwy","plano","TX","75020","RA3575445","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Oct. 31, 2013 16:15:27","N/A","N/A","N/A"
"100178","Delware Pharmacy","dwst1234@gmail.com","314-897-9568","7700 main st 19931","BETHEL","TX","19931","DE7874837","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Nov. 05, 2013 09:07:14","N/A","N/A","N/A"
"100179","delawa pharma","invrxtest@gmail.com","214-854-9632","7606main st","BETHEL","DE","19931","DL5376398","Pharmacy","","active","0000-00-00","","final","1","Nov. 07, 2013 22:53:50","N/A","N/A","N/A"
"100180","CS Pharma","trxade123@gmail.com","512-698-3254","09899 spring creek pkwy","Plano","TX","75023","TC6382968","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Nov. 26, 2013 18:45:14","N/A","N/A","N/A"
"100181","DR Pharmacy","drtest178@gmail.com","512-874-5824","5247 spring creek pkwy","plano","TX","75020","DR7680077","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Nov. 27, 2013 13:36:23","N/A","N/A","N/A"
"100182","pdftest pharmacy","tr1087@gmail.com","512-748-5241","258321 spring creek pkwy","plano","TX","75020","TR1087897","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Dec. 05, 2013 12:43:19","N/A","N/A","N/A"
"100183","Testing","jf@fdns.com","941-925-2424","1717 Redwood St.","Sarasota","FL","34231","TO12345678","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Jan. 07, 2014 01:46:08","N/A","N/A","N/A"
"100184","Testing","jf3@fdns.com","941-925-2424","1717 Redwood St.","Sarasota","FL","34231","TO123456789","Pharmacy","","active","0000-00-00","","api_user","1","Jan. 07, 2014 01:54:55","N/A","N/A","N/A"
"100185","Test Registration","ops@trxade.com","800-555-5555","123 Any St","Austin","TX","32456","TT0123456","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Jan. 10, 2014 10:37:10","N/A","N/A","N/A"
"100186","Best Drugs","testdemouser1@dev2.trxadedev.com","512-968-8777","2547 spring creek pkwy","plano","TX","75020","DE6776762","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Jan. 10, 2014 12:13:13","N/A","N/A","N/A"
"100187","Demo Pharmacy","demotoyou@gmail.com","512-987-8765","2254 spring creek pkway","plano","TX","75020","DM6846699","Pharmacy","Retail Pharmacy","active","0000-00-00","","api_user","1","Jan. 10, 2014 21:50:51","N/A","N/A","N/A"
"100188","TEE Pharma","te56348@gmail.com","512-546-9876","34256 spring creek pkwy","plano","TX","75020","TE4535674","Pharmacy","Retail Pharmacy","active","0000-00-00","","api_user","1","Jan. 16, 2014 09:40:16","N/A","N/A","N/A"
"100189","AP12345678","AP12345678@trxadedev.com","941-925-2424","aksjfhdkjlashdf",";lkjalafskfhdk","AL","89045","AP12345678","Pharmacy","Retail Pharmacy","active","0000-00-00","","api_user","1","Jan. 16, 2014 10:26:39","N/A","N/A","N/A"
"100190","AA7777777 Trade","A1A1A1A@tttt.com","999-222-3333","121 E. Main St.","New York","NY","11111","AA7777777","Pharmacy","","active","0000-00-00","","api_user","1","Jan. 17, 2014 09:25:33","N/A","N/A","N/A"
"100191","bb12345789t","bb12345789@flyingdiamond.com","952-234-2344","alskjflaksjf","jlfksljfdaslkjf","AL","89340","BB12345897","Pharmacy","Retail Pharmacy","active","0000-00-00","","api_user","1","Jan. 20, 2014 22:32:27","N/A","N/A","N/A"
"100192","AA77777778Trade","AA7777778@aaa.com","222-333-4444","121 E. Main St.","New York","NY","11111","AA7777778","Pharmacy","","active","0000-00-00","","api_user","1","Jan. 22, 2014 10:01:38","N/A","N/A","N/A"
"100193","Kevin Test Pharmacy2","kevin.najafi@test.trxadedev.com","123-123-1234","1234 main st.","orlando","FL","32828","VS3333333","Pharmacy","Retail Pharmacy","active","0000-00-00","","api_user","1","Jan. 22, 2014 17:46:07","N/A","N/A","N/A"
"100194","Test - Prescription Supply - Test","jobs.sravani@gmail.com","512-568-8745","3500877 spring creek pkway","plano","TX","75023","DR2575713","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","Feb. 14, 2014 10:35:19","N/A","N/A","N/A"
"100195","testing new account","asdfjlk@dealertrynothisbaddomain.com","234-234-2344","asldflsdfljk","slfjslkdjf","KY","34890","RX12345678","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Mar. 31, 2014 14:06:13","N/A","N/A","N/A"
"100196","UI Eval","notgood@trxadedev.com","999-999-9999","Street","City","AK","90210","UI1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Apr. 11, 2014 16:44:32","N/A","N/A","N/A"
"100197","echodoc pharma","testechodoc@gmail.com","512-325-7845","2526 E spring creek pkwy","plano","TX","75020","TE7638963","Pharmacy","Retail Pharmacy","active","0000-00-00","","ready","1","Apr. 24, 2014 21:39:49","N/A","N/A","N/A"
"100198","diamond enterprise","nagarjuna.golamaru@amzur.com","512-854-9653","699699 E spring creek pkwy","plano","TX","75020","TE7770077","Wholesaler","Full Line Wholesaler","active","2015-02-20","; User suspended on 02/20/2015 - Reason: test","final","1","Apr. 25, 2014 18:11:04","N/A","N/A","N/A"
"100199","Asteroid Pharmacy","chknr123@gmail.com","512-254-8952","6901 April way","plano","TX","75023","NR6638068","Pharmacy","","active","0000-00-00","","final","1","Apr. 28, 2014 13:14:29","N/A","N/A","N/A"
"100200","newdrugs pharmacy","testnr1@gmail.com","512-524-3251","6908 April Way","plano","TX","75023","NR1646897","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Apr. 28, 2014 16:33:11","N/A","N/A","N/A"
"100201","lowdrugs pharma","gnr.mca@gmail.com","512-524-8795","6903 April Way","Plano","TX","75023","NR2646897","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Apr. 28, 2014 16:58:21","N/A","N/A","N/A"
"100202","Aloe pharmacy","nr4test1234@gmail.com","512-524-7541","6905 April Way","plano","TX","75023","NR4867076","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Apr. 28, 2014 22:00:37","N/A","N/A","N/A"
"100203","saveright pharmacy","akbar.ahmed@trxadedev.com","512-528-4516","6906 April Way","Plano","HI","75023","TS1268986","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Apr. 30, 2014 13:39:11","N/A","N/A","N/A"
"100204","test","jk@email.com","334-344-2342","1212 main st","Somewhere","AL","34230","JK1234578","Pharmacy","Retail Pharmacy","active","2014-05-08","; User suspended on 05/08/2014 - Reason: testing","new","1","May. 02, 2014 11:34:02","N/A","N/A","N/A"
"100205","ET test","chance@elegantthought.com","520-571-6561","15 E Toole ","Tucson","AZ","85711","ET1234567","Pharmacy","","active","0000-00-00","","final","1","Jun. 04, 2014 15:05:22","N/A","N/A","N/A"
"100206","P2P Test","p2ptestenv@gmail.com","512-587-8695","548 spring creek pkway","Plano","TX","75023","PR6862966","Pharmacy","","active","0000-00-00","","final","1","Jun. 20, 2014 11:22:19","N/A","N/A","N/A"
"100207","1SmartPuppy","meyer@1smartpuppy.com","727-235-2841","1811 Guadalupe St","Austin","TX","78701","ZZ2352841","Pharmacy","","active","0000-00-00","","final","1","Jul. 03, 2014 08:46:28","N/A","N/A","N/A"
"100208","Dreamboat Drugs","james.daniels@dev2.trxadedev.com","407-555-5426","11610 Darlongton dr","Orlando","FL","32837","DB3337377","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Sep. 23, 2014 12:24:03","N/A","N/A","N/A"
"100209","1993","james.daniels93@gmail.com","561-935-5426","11592 Darlington dr","Orlando","HI","32837","DJ7773733","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Oct. 04, 2014 03:15:11","N/A","N/A","N/A"
"100210","PuertoRico Pharma","sravya.jetti@amzur.com","787-281-2222","Calle 1 Parcela 30","Quebradillas","PR","00678","PR2786894","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Oct. 16, 2014 09:32:46","N/A","N/A","N/A"
"100211","James Test Pharma:;[]-=)(*&^%$#@!<>?/;:[{}|~`","jdaniels0130@me.com","777-333-7733","11610 darlington dr:;[]-=)(*&^%$#@!<>?/;":[{}|~`","Orlando","FL","32837","DJ3773707","Pharmacy","Retail Pharmacy","active","0000-00-00","","final","1","Oct. 17, 2014 08:41:03","N/A","N/A","N/A"
"100212","Otherchoice Inc","other123@gmail.com","512-797-4536","4567 spring creek pkwy","Plano","TX","75023","OT6426999","Other","","active","0000-00-00","","final","1","Nov. 13, 2014 15:12:17","N/A","N/A","N/A"
"100213","texchk clinic","trx345@gmail.com","512-678-8907","45677 E. Spring Creek Pkwy","Plano","TX","75023","TR5677575","Medical Facility","","active","0000-00-00","","new","1","Jan. 19, 2015 21:45:21","N/A","N/A","N/A"
"100214","CRXVET Clinic","trx567@gmail.com","512-890-6786","5689 E. Spring Creek Pkwy","Plano","TX","75023","T46463634","Medical Facility","Home Health","active","0000-00-00","","new","1","Jan. 19, 2015 22:01:22","N/A","N/A","N/A"
